iter	Passed	Remaining
414	3097	4365
415	3104	4357
416	3110	4348
417	3116	4339
418	3123	4331
419	3129	4321
420	3135	4312
421	3141	4303
422	3148	4294
423	3155	4286
424	3161	4277
425	3168	4268
426	3173	4258
427	3180	4250
428	3186	4241
429	3192	4232
430	3200	4224
431	3205	4215
432	3212	4206
433	3219	4198
434	3225	4189
435	3232	4180
436	3237	4171
437	3244	4163
438	3250	4154
439	3257	4145
440	3264	4137
441	3270	4129
442	3277	4120
443	3282	4110
444	3289	4102
445	3294	4092
446	3301	4084
447	3307	4075
448	3313	4066
449	3320	4058
450	3326	4048
451	3332	4040
452	3337	4030
453	3344	4022
454	3350	4012
455	3356	4004
456	3362	3995
457	3368	3986
458	3374	3977
459	3380	3968
460	3387	3960
461	3393	3951
462	3400	3944
463	3407	3936
464	3413	3927
465	3420	3919
466	3426	3911
467	3432	3902
468	3439	3893
469	3444	3884
470	3452	3877
471	3458	3868
472	3464	3860
473	3471	3851
474	3476	3842
475	3483	3835
476	3489	3825
477	3495	3817
478	3501	3808
479	3507	3799
480	3514	3791
481	3519	3782
482	3526	3774
483	3531	3765
484	3538	3757
485	3544	3748
486	3550	3740
487	3557	3732
488	3563	3723
489	3569	3714
490	3574	3705
491	3581	3697
492	3587	3689
493	3593	3680
494	3598	3671
495	3604	3662
496	3611	3655
497	3618	3647
498	3624	3638
499	3630	3630
500	3636	3622
501	3642	3613
502	3649	3605
503	3655	3597
504	3661	3589
505	3668	3581
506	3673	3572
507	3679	3563
508	3685	3554
509	3691	3546
510	3696	3537
511	3703	3529
512	3710	3522
513	3716	3514
514	3722	3505
515	3728	3497
516	3735	3489
517	3741	3481
518	3748	3474
519	3754	3466
520	3760	3457
521	3766	3449
522	3772	3440
523	3778	3432
524	3784	3424
525	3791	3416
526	3797	3408
527	3803	3400
528	3810	3392
529	3816	3384
530	3823	3377
531	3830	3369
532	3837	3361
533	3843	3354
534	3849	3345
535	3855	3337
536	3861	3329
537	3868	3321
538	3874	3313
539	3879	3305
540	3887	3297
541	3893	3290
542	3900	3283
543	3907	3275
544	3913	3266
545	3919	3259
546	3926	3251
547	3933	3244
548	3939	3236
549	3946	3228
550	3952	3221
551	3958	3212
552	3964	3204
553	3970	3196
554	3977	3188
555	3983	3181
556	3990	3173
557	3996	3165
558	4002	3157
559	4009	3150
560	4015	3142
561	4021	3134
562	4028	3126
563	4034	3118
564	4041	3111
565	4046	3103
566	4054	3096
567	4060	3088
568	4066	3080
569	4072	3072
570	4079	3064
571	4085	3057
572	4092	3049
573	4098	3041
574	4104	3033
575	4111	3026
576	4117	3018
577	4123	3010
578	4129	3002
579	4136	2995
580	4142	2987
581	4148	2979
582	4154	2971
583	4161	2964
584	4166	2955
585	4173	2948
586	4178	2939
587	4185	2932
588	4191	2925
589	4197	2916
590	4204	2909
591	4210	2901
