iter	RMSE
248	568.8074401
249	568.7362735
250	568.6072743
251	568.5704741
252	568.5409346
253	568.4341487
254	568.3532156
255	568.2760956
256	568.1884025
257	568.0823582
258	567.9424431
259	567.8518358
260	567.781202
261	567.7009764
262	567.5232978
263	567.4989316
264	567.3928614
265	567.2218836
266	567.0948118
267	566.9674578
268	566.8513321
269	566.737285
270	566.6522659
271	566.5457243
272	566.4379198
273	566.3517316
274	566.2226938
275	566.0855025
276	565.9801779
277	565.887071
278	565.7997872
279	565.7338654
280	565.6547586
281	565.6257979
282	565.5329006
283	565.4243812
284	565.366199
285	565.2059709
286	565.1210813
287	565.012942
288	564.9870617
289	564.8908624
290	564.7397231
291	564.6237749
292	564.5580614
293	564.5236189
294	564.4970428
295	564.4082151
296	564.3290635
297	564.2512926
298	564.1481801
299	564.0648707
300	563.9831733
301	563.9305006
302	563.8415702
303	563.7414514
304	563.6463135
305	563.5624416
306	563.4828333
307	563.4319888
308	563.3691335
309	563.3185405
310	563.2664043
311	563.1510146
312	563.0894711
313	562.9445814
314	562.8667427
315	562.8394876
316	562.7762999
317	562.7197699
318	562.646881
319	562.6047433
320	562.5737318
321	562.4986928
322	562.4546057
323	562.3682818
324	562.2391642
325	562.1802234
326	562.089627
327	562.0429985
328	561.9760333
329	561.9133047
330	561.8152547
331	561.7421392
332	561.6817318
333	561.5875596
334	561.5388691
335	561.4732033
336	561.3758157
337	561.3177099
338	561.263223
339	561.1747095
340	561.1200721
341	560.9803197
342	560.9665688
343	560.9226353
344	560.875261
345	560.8197365
346	560.7294175
347	560.6668852
348	560.6167797
349	560.5494554
350	560.4155681
351	560.3401199
352	560.2523486
353	560.1932634
354	560.1611889
355	560.068075
356	560.0138543
357	559.9543706
358	559.8990091
359	559.7706805
360	559.7042967
361	559.6361591
362	559.5652291
363	559.4914778
364	559.4289386
365	559.3572648
366	559.311651
367	559.2218651
368	559.1578139
369	559.0705882
370	559.0072994
371	558.887851
372	558.8166895
373	558.7603799
374	558.7037089
375	558.6456461
376	558.5327476
377	558.4740216
378	558.3852505
379	558.3156135
380	558.2796621
381	558.1706649
382	558.0426258
383	557.9449506
384	557.9274311
385	557.8749904
386	557.7561441
387	557.6745688
388	557.6372516
389	557.5843577
390	557.4544573
391	557.376757
392	557.3475231
393	557.2816655
394	557.2467022
395	557.1489393
396	557.1352458
397	557.0969004
398	557.0092262
399	556.9776102
400	556.9302494
401	556.8556876
402	556.7933369
403	556.7009262
404	556.6357289
405	556.5513278
406	556.4957755
407	556.4457677
408	556.3936295
409	556.3337714
410	556.2945357
411	556.2569298
412	556.2164444
413	556.1122164
414	555.9656492
415	555.9208808
416	555.8545035
417	555.7838029
418	555.6966099
419	555.6492031
420	555.6043399
421	555.5443551
422	555.4922758
423	555.4099337
424	555.3503507
425	555.2609529
426	555.2314038
427	555.1147753
428	555.0849464
429	555.0738143
430	555.0183167
431	554.9553026
432	554.8566636
433	554.8084754
434	554.779787
435	554.7476053
436	554.679017
437	554.6367878
438	554.5880534
439	554.5309799
440	554.4973059
441	554.4608953
442	554.36486
443	554.3238782
444	554.2843538
445	554.271397
446	554.2229638
447	554.1787095
448	554.1125788
449	554.0058675
450	553.9612438
451	553.9279405
452	553.8995417
453	553.8445067
454	553.8310578
455	553.7546258
456	553.6467882
457	553.5813644
458	553.524992
459	553.454924
460	553.3748397
461	553.2648096
462	553.2009028
463	553.0809616
464	553.0000146
465	552.9257652
466	552.8033313
467	552.778394
468	552.7102541
469	552.6794335
470	552.6196004
471	552.5927517
472	552.5347347
473	552.4815461
474	552.4240667
475	552.3491333
476	552.2941109
477	552.1962034
478	552.1101042
479	552.0754908
480	552.0205934
481	552.0109814
482	551.9587138
483	551.957244
484	551.9029164
485	551.8210959
486	551.7870448
487	551.6592797
488	551.5814223
489	551.5703373
490	551.4525405
491	551.3593056
492	551.2848389
493	551.2496442
494	551.1572875
495	551.1476797
496	551.082765
497	551.0214104
498	550.9144068
499	550.9018827
500	550.8368049
501	550.7744756
502	550.7064602
503	550.6344898
504	550.5709615
505	550.4674097
506	550.4097324
507	550.3999444
508	550.3408258
509	550.3002549
510	550.2668703
511	550.2027231
512	550.1656795
513	550.1266308
514	550.0859482
515	549.9817327
516	549.9215208
517	549.8735011
518	549.8383421
519	549.7897307
520	549.7141966
521	549.6826954
522	549.6200513
523	549.5437762
524	549.5098677
525	549.4512484
526	549.3817334
527	549.2788409
528	549.1359083
529	549.0966359
530	549.0418565
531	548.9944676
532	548.9185015
533	548.8684538
534	548.7923091
535	548.78004
536	548.7704157
537	548.6928248
538	548.5956514
539	548.5215176
540	548.4533775
541	548.3868067
542	548.324538
543	548.2578625
544	548.2173798
545	548.1462445
546	548.107134
547	548.0652007
548	547.9992675
549	547.908535
550	547.8337966
551	547.7944434
552	547.76391
553	547.7330257
554	547.670342
555	547.6197618
556	547.5598524
557	547.5039007
558	547.4660769
559	547.4543094
560	547.3940833
561	547.3715341
562	547.3290323
563	547.2994972
564	547.2241915
565	547.166863
566	547.138906
567	547.0717126
568	547.0335758
569	546.9686632
570	546.8795635
571	546.8330496
572	546.7776279
573	546.6992301
574	546.6502792
575	546.6156218
576	546.6067436
577	546.5371455
578	546.5293724
579	546.4651777
580	546.4234503
581	546.3884654
582	546.2764733
583	546.167251
584	546.1286565
585	546.0976691
586	546.0901132
587	545.9979167
588	545.9515167
589	545.8774987
590	545.77874
591	545.7484818
592	545.7157249
593	545.665405
594	545.5821826
595	545.5535612
596	545.4813425
597	545.4357874
598	545.388027
599	545.2912026
600	545.2485042
601	545.1989001
602	545.1069494
603	545.0420245
604	544.9881226
605	544.9790939
606	544.9732743
607	544.9474076
608	544.9112342
609	544.9059098
610	544.8606625
611	544.8039824
612	544.7727556
613	544.6920181
614	544.6214216
615	544.5608028
616	544.4918247
617	544.4856777
618	544.4714622
619	544.4456937
620	544.3729275
621	544.2959122
622	544.2720249
623	544.2394771
624	544.2084112
625	544.1766614
626	544.1440486
627	544.1060485
628	544.0824745
629	544.054067
630	543.9787977
631	543.9344055
632	543.8107564
633	543.7492215
634	543.741564
635	543.6728448
636	543.6390541
637	543.5664723
638	543.5178547
639	543.4841229
640	543.4455369
641	543.3609238
642	543.3234552
643	543.224523
644	543.1382531
645	543.06895
646	543.0621564
647	543.0026359
648	542.9751732
649	542.9053433
650	542.8894643
651	542.8438486
652	542.8200532
653	542.7904027
654	542.7525689
655	542.7295554
656	542.6968275
657	542.6264515
658	542.5904786
659	542.5350274
660	542.4852997
661	542.4318875
662	542.3582406
663	542.3252167
664	542.2792445
665	542.2255138
666	542.1594017
667	542.1032173
668	542.0234261
669	541.9580921
670	541.8996676
671	541.8769756
672	541.849996
673	541.8011064
674	541.7555452
675	541.6976139
676	541.6677239
677	541.6267778
678	541.6105153
679	541.5667344
680	541.5424555
681	541.5045813
682	541.4081942
683	541.3734026
684	541.3308106
685	541.2964337
686	541.250591
687	541.1791525
688	541.1062163
689	541.0443728
690	540.9699541
691	540.9114898
692	540.8560633
693	540.803115
694	540.7346432
695	540.6684984
696	540.6235348
697	540.5561053
698	540.4941729
699	540.4561853
700	540.4123279
701	540.4058395
702	540.377178
703	540.2728654
704	540.2363969
705	540.1731185
706	540.1434674
707	540.0885835
708	540.0213883
709	539.9490738
710	539.8595621
711	539.8152577
712	539.7598359
713	539.6863306
714	539.6420448
715	539.6139755
716	539.5708471
717	539.4887674
718	539.4213823
719	539.3956267
720	539.3612483
721	539.3080877
722	539.1846782
723	539.1703653
724	539.133658
725	539.0975648
726	539.0286511
727	538.9834206
728	538.9305668
729	538.8895753
730	538.8401262
731	538.789669
732	538.745716
733	538.7169434
734	538.6629851
735	538.6151713
736	538.5521528
737	538.5284006
738	538.4947508
739	538.4875377
740	538.4548558
741	538.4015365
742	538.353919
743	538.3384436
744	538.2947385
745	538.2669885
746	538.2325599
747	538.2007538
748	538.1522719
749	538.0959378
750	538.037403
751	537.9657687
752	537.9347035
753	537.8875497
754	537.8460812
755	537.7807163
756	537.7510798
757	537.7119586
758	537.6921251
759	537.6089575
760	537.5238703
761	537.4766785
762	537.463091
763	537.4259734
764	537.3905191
765	537.3659667
766	537.347601
767	537.334758
768	537.2841163
769	537.266118
770	537.215962
771	537.1795005
772	537.1228811
773	537.074736
774	537.0620824
775	537.0267774
776	536.9255937
777	536.9247319
778	536.8421261
779	536.8379419
780	536.7902412
781	536.7463295
782	536.701251
783	536.6408255
784	536.6100778
785	536.4971495
786	536.4670793
787	536.461117
788	536.4155848
789	536.3960454
790	536.3601122
791	536.3325366
792	536.2644416
793	536.2145869
794	536.172817
795	536.1216691
796	536.1213683
797	536.1017267
798	536.0903745
799	536.0509255
800	536.016025
801	535.9590843
802	535.8915618
803	535.8595361
804	535.8056335
805	535.7912201
806	535.7470554
807	535.6994071
808	535.6942934
809	535.6467859
810	535.6091742
811	535.5512798
812	535.4813167
813	535.4303693
814	535.4300906
815	535.4055334
816	535.3780057
817	535.3384564
818	535.3190706
819	535.3178297
820	535.233583
821	535.2217006
822	535.1980163
823	535.1749811
824	535.1441905
825	535.1067437
826	535.070192
827	535.0643731
828	535.0310961
829	535.0098784
830	534.9674855
831	534.967249
832	534.9501877
833	534.8931312
834	534.824827
835	534.8015176
836	534.6940199
837	534.6498041
838	534.6240817
839	534.6153675
840	534.5922736
841	534.5555724
842	534.5074062
843	534.4769673
844	534.4711466
845	534.428868
846	534.400021
847	534.346074
848	534.3311093
849	534.2997785
850	534.2582696
851	534.2544371
852	534.1821609
853	534.1669744
854	534.1303102
855	534.1187457
856	534.0732953
857	533.9890703
858	533.9837944
859	533.9475616
860	533.9235831
861	533.871667
862	533.8247693
863	533.7852506
864	533.728745
865	533.6940849
866	533.6767428
867	533.6271563
868	533.5902484
869	533.5411003
870	533.5081419
871	533.4925698
872	533.4528172
873	533.3992599
874	533.372408
875	533.3362954
876	533.3094482
877	533.2895184
878	533.2852691
879	533.252639
880	533.1857254
881	533.1362448
882	533.1104103
883	533.0640826
884	533.0317644
885	532.9855714
886	532.9654081
887	532.9356452
888	532.9334212
889	532.8800314
890	532.8761978
891	532.8369998
892	532.8082127
893	532.7497907
894	532.7297473
895	532.7002183
896	532.647535
897	532.6334641
898	532.5959647
899	532.4811294
900	532.4395648
901	532.4053833
902	532.3593674
903	532.2768411
904	532.1967668
905	532.1884873
906	532.1502675
907	532.1014071
908	532.098556
909	532.0355501
910	532.0304784
911	531.9740044
912	531.9340404
913	531.9203627
914	531.9065383
915	531.8227423
916	531.794616
917	531.7712277
918	531.7384586
919	531.7060804
920	531.6802872
921	531.6477967
922	531.6197402
923	531.5609452
924	531.469741
925	531.3882185
926	531.3771012
927	531.3414057
928	531.3379222
929	531.2845159
930	531.2726928
931	531.2222508
932	531.1758619
933	531.1264
934	531.0534321
935	531.0299615
936	530.9736524
937	530.8937022
938	530.8524846
939	530.7843042
940	530.7378184
941	530.7039972
942	530.7037788
943	530.650873
944	530.6311404
945	530.5793066
946	530.5236001
947	530.5233892
948	530.4862678
949	530.4090515
950	530.3636
951	530.3343242
952	530.2995487
953	530.2405272
954	530.174482
955	530.0781101
956	530.0369872
957	530.0367914
958	529.994498
959	529.9546543
960	529.9446194
961	529.9074063
962	529.8823924
963	529.844374
964	529.7644158
965	529.7469765
966	529.7467817
967	529.6953477
968	529.6679171
969	529.6504373
970	529.6300343
971	529.5907952
972	529.566641
973	529.5285783
974	529.4799772
975	529.4459424
976	529.4179034
977	529.3803132
978	529.3460165
979	529.2895579
980	529.2396636
981	529.1663388
982	529.1243541
983	529.0987865
984	529.0670596
985	529.0141202
986	528.9428629
987	528.9127988
988	528.9005035
989	528.8652779
990	528.8470801
991	528.7864209
992	528.7164175
993	528.6810334
994	528.6178084
995	528.528642
996	528.4680303
997	528.4253006
998	528.3994896
999	528.3526839
